BTCUSDT
ETHUSDT
BNBUSDT
SOLUSDT
XRPUSDT
DOGEUSDT
ADAUSDT
AVAXUSDT
LINKUSDT
DOTUSDT
MATICUSDT
ATOMUSDT
LTCUSDT
TRXUSDT
APTUSDT
