symbol
BTCUSDT
ETHUSDT
BNBUSDT
SOLUSDT
XRPUSDT
DOGEUSDT
ADAUSDT
AVAXUSDT
TRXUSDT
LINKUSDT
MATICUSDT
DOTUSDT
TONUSDT
BCHUSDT
LTCUSDT
NEARUSDT
ATOMUSDT
APTUSDT
ARBUSDT
OPUSDT
